"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"ChangeUp",4,"1","0",2,"1","2",0,0,0,0,0,3.24,19,0.289,9,1,5,1,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",5,"1","1",1,"1","2",0,1,1,0,0,6,28,0.314,11,-1,2,1,0,0,0,0,0,1,0,0,1,0
"Slider.Cutter",6,"1","0",6,"0","1",1,0,0,0,-1,2.52,24,0.205,7,-1,7,1,0,0,0,0,1,0,1,0,0,0
"Slider.Cutter",6,"1","0",5,"2","2",1,1,1,0,-2,3.6,12,0.244,4,-1,1,0,0,0,0,0,0,1,0,0,0,1
"Fastball",9,"1","1",6,"3","2",1,0,0,0,2,3.97,4,0.228,0,-1,4,1,0,0,0,0,1,0,0,1,0,0
"Fastball",1,"1","0",3,"3","0",2,0,0,0,0,5.13,18,0.25,4,-1,3,1,0,0,0,0,1,0,0,1,0,0
"Fastball",6,"1","0",2,"0","0",1,0,0,0,0,2.52,24,0.205,7,-1,7,1,0,0,1,0,0,0,1,0,0,0
"Fastball",6,"1","0",4,"1","1",0,0,0,0,0,2.52,24,0.205,7,-1,7,1,0,0,0,1,0,0,0,0,1,0
"ChangeUp",9,"1","0",3,"0","0",1,0,0,0,0,5.13,12,0.153,5,-1,3,1,0,0,1,0,0,0,1,0,0,0
"Slider.Cutter",8,"1","1",3,"0","2",1,0,0,0,0,3.97,2,0.19,0,-1,4,1,0,0,0,1,0,0,0,0,0,1
"Fastball",2,"1","0",4,"0","0",2,1,0,0,-2,3.6,13,0.263,3,-1,1,0,0,0,1,0,0,0,1,0,0,0
"Slider.Cutter",2,"1","0",5,"2","2",1,1,1,0,2,2.83,14,0.262,5,-1,6,1,0,0,0,0,0,1,0,0,1,0
"Fastball",3,"1","1",7,"1","0",1,0,0,0,2,3.97,40,0.318,12,-1,4,1,0,0,0,0,0,1,1,0,0,0
"Fastball",3,"1","0",7,"1","0",0,0,0,0,3,5.13,12,0.252,4,-1,3,1,0,0,0,0,1,0,1,0,0,0
"Fastball",5,"1","1",1,"2","1",0,1,0,1,-4,3.6,14,0.214,4,-1,1,0,0,0,0,0,1,0,0,0,0,1
"Fastball",4,"1","1",4,"2","2",2,0,0,0,2,5.13,17,0.306,6,-1,3,1,0,0,0,0,0,1,0,0,0,1
"Fastball",8,"1","1",3,"0","0",0,0,0,0,4,3.24,18,0.237,2,1,5,1,0,0,1,0,0,0,1,0,0,0
"Fastball",2,"1","1",3,"2","0",0,0,0,0,-1,6.3,5,0.211,2,-1,1,1,0,0,0,0,0,1,0,0,0,1
"Fastball",3,"1","1",1,"0","1",2,1,0,0,0,3.24,46,0.248,12,1,5,1,0,0,0,0,0,1,1,0,0,0
"Slider.Cutter",4,"1","1",5,"0","0",1,1,0,0,2,0,10,0.247,3,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",4,"1","1",6,"0","0",0,0,0,0,2,2.83,25,0.258,9,-1,6,1,0,0,1,0,0,0,1,0,0,0
"ChangeUp",7,"1","0",5,"0","0",0,0,0,0,1,6.52,4,0.177,1,1,2,1,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"1","0",8,"0","1",1,1,0,0,3,5.13,18,0.25,4,-1,3,1,0,0,0,1,0,0,1,0,0,0
"Fastball",6,"1","0",2,"1","0",1,0,0,0,3,0,7,0.233,3,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",8,"1","0",4,"2","0",1,1,1,0,2,0,4,0.23,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",3,"1","1",6,"2","2",1,0,0,0,6,3.24,46,0.248,12,1,5,1,0,0,0,0,0,1,0,0,0,1
"Fastball",9,"1","1",3,"0","1",0,0,1,0,0,2.83,6,0.233,0,-1,6,1,0,0,0,0,0,1,1,0,0,0
"Fastball",1,"1","0",1,"0","0",0,0,0,0,0,6.3,1,0.15,0,-1,1,1,0,0,1,0,0,0,1,0,0,0
"Slider.Cutter",5,"1","1",5,"2","0",2,0,1,0,2,0,7,0.241,5,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",7,"1","1",2,"3","1",0,1,1,0,0,6.3,13,0.357,3,-1,1,1,0,0,0,0,1,0,0,0,1,0
"Fastball",4,"1","0",3,"0","1",1,0,0,0,-1,6,25,0.256,9,-1,2,1,0,0,0,0,0,1,1,0,0,0
"Slider.Cutter",8,"1","1",3,"1","2",0,0,0,0,4,3.24,18,0.237,2,1,5,1,0,0,0,0,0,1,0,0,1,0
"ChangeUp",1,"1","1",5,"1","2",1,0,0,0,0,2.52,8,0.324,2,-1,7,1,0,0,0,0,0,1,0,0,1,0
"Fastball",3,"1","1",1,"2","2",2,0,0,0,0,3.97,40,0.318,12,-1,4,1,0,0,0,1,0,0,0,1,0,0
"Fastball",4,"1","1",5,"1","0",1,1,0,0,-1,6.3,12,0.227,1,-1,1,1,0,0,0,0,0,1,1,0,0,0
